id	username	screenname	lastname	firstname	party	country	membership
18103366	MariaKlSchmeink	Maria Klein-Schmeink	Klein-Schmeink	Maria	Grüne	DE	MdB
474013625	BabettesChefin	Sylvia Kotting-Uhl	Kotting-Uhl	Sylvia	Grüne	DE	MdB
88630242	Oliver_Krischer	Oliver Krischer	Krischer	Oliver	Grüne	DE	MdB
1143130812	ChrisKuehn_mdb	Chris Kühn	Kühn	Christian	Grüne	DE	MdB
104100946	stephankuehn	Stephan Kühn	Kühn	Stephan	Grüne	DE	MdB
1425265488	RenateKuenast	Renate Künast	Künast	Renate	Grüne	DE	MdB
150188536	markuskurthmdb	Markus Kurth	Kurth	Markus	Grüne	DE	MdB
60630139	monikalazar	Monika Lazar	Lazar	Monika	Grüne	DE	MdB
16706236	svenlehmann	Sven Lehmann	Lehmann	Sven	Grüne	DE	MdB
17229513	SteffiLemke	SteffiLemke	Lemke	Steffi	Grüne	DE	MdB
21197524	tobiaslindner	Dr. Tobias Lindner	Lindner	Tobias	Grüne	DE	MdB
143000381	IreneMihalic	Irene Mihalic	Mihalic	Irene	Grüne	DE	MdB
937403112	GruenClaudia	Claudia Müller	Müller	Claudia	Grüne	DE	MdB
53426644	GrueneBeate	Beate Müller-Gemmeke	Müller-Gemmeke	Beate	Grüne	DE	MdB
16674128	nouripour	Omid Nouripour	Nouripour	Omid	Grüne	DE	MdB
19108766	cem_oezdemir	Cem Özdemir	Özdemir	Cem	Grüne	DE	MdB
569166756	lisapaus	Lisa Paus	Paus	Lisa	Grüne	DE	MdB
194535434	filizgreen	Filiz Polat	Polat	Filiz	Grüne	DE	MdB
53351462	TabeaRoessner	Tabea Rößner	Rößner	Tabea	Grüne	DE	MdB
1524735194	crueffer	Corinna Rüffer	Rüffer	Corinna	Grüne	DE	MdB
17922403	ManuelSarrazin	Manuel Sarrazin	Sarrazin	Manuel	Grüne	DE	MdB
17363943	ulle_schauws	Ulle Schauws	Schauws	Ulle	Grüne	DE	MdB
930725836482928640	Schmidt_MdB	Stefan Schmidt	Schmidt	Stefan	Grüne	DE	MdB
17870195	K_SA	Kordula Schulz-Asche	Schulz-Asche	Kordula	Grüne	DE	MdB
20840049	W_SK	Dr. Wolfgang Strengmann-Kuhn	Strengmann-Kuhn	Wolfgang	Grüne	DE	MdB
943082490482262016	margit_stumpp	Margit Stumpp	Stumpp	Margit	Grüne	DE	MdB
