	tweet_id	text	user_id	created_at	party	valence
702134	985439585109979136	@sozialromantik @WSIInstitut @AnkeHassel @DieBDA Es ist beides! De Analyse ist trotzdem nicht falsch: Unsicherheit der unteren Mittelschicht hängt auch mit #HartzIV zusammen. Nur an einem der beiden Probleme ansetzen reicht nicht. Deswegen: Danke für die Ergänzung.	20840049	2018-04-15 08:48:00	Grüne	-2.12
704622	405774385220694017	Heute bringe ich meinem Mann mal keine Blumen mit, sondern einen ausgedruckten Koalitionsvertrag.  #neoromantik	106684561	2013-11-27 19:05:27	SPD	1.63
709938	1013196288962318337	Denken Sie, dass hier alles den Bach runter geht aber finden Deutschland irgendwie trotzdem geil? Zeigen Sie es! Jetzt neu: Deutsche Untergangsromantik zum Anziehen. https://t.co/YvRLjctt3l	19257571	2018-06-30 23:03:14	SPD	-0.3
715111	1131674638516461569	@sozialromantik ja, das ärgert mich tatsächlich! Da wäre ich nämlich morgen sonst hingegangen.	16557497	2019-05-23 21:33:53	LINKE	-2.09
761226	613708519477481472	Kommentar der Woche: „Die deutsche Flagge am Heck eines Schiffes, nur noch Romantik?...“ http://t.co/4eJyO6Hocd http://t.co/9wezWooJCF	20916357	2015-06-24 14:01:27	CDU	-0.3
781965	1021411404610404359	@sozialromantik @dieLinke Das tun wir doch jeden Tag, auf vielen Wegen. Das war auch der zentrale Grund, warum sich DIE LINKE gegründet hat. Und trotzdem bin ich überzeugt, dass es notwendig ist, dass wir auch um das Recht in jedem Einzelfall kämpfen.	136266976	2018-07-23 15:07:10	LINKE	1.4
781966	1021370649930076160	@sozialromantik @dieLinke Der Rechtsstaat ist damit nicht abgeschafft,sonst würden bspw. nicht über 1/3 der Widersprüche gegen fehlerhafte Bescheide Erfolg gehabt haben.Vielmehr ist Hartz IV ein Angriff auf Menschenwürde, Sozialstaat&amp;Demokratie. Wir müssen Rechtsstaat, Protest &amp; Aufklärung dagegen nutzen.	136266976	2018-07-23 12:25:13	LINKE	-0.24
799282	1086238832054493184	Die grüne Blockade bei den sicheren #Herkunftsstaaten ist grob fahrlässig! Grüne Asylromantik lähmt unsere Behörden und verzögert Asylverfahren unnötig. Wir behalten die Realität im Auge: Wir unterscheiden klar zwischen Schutzbedürftigkeit und Asylmissbrauch.	17960911	2019-01-18 12:28:13	CSU	-0.41
819869	798254063410417664	@sozialromantik @JURLP siehe 2. Satz	83474160	2016-11-14 19:59:34	CDU	-0.3
829872	951031032945500161	"Guter Kommentar zur Einheitsbreiversicherung der #SPD. Es gibt nur Negativbeispiele: GB, DK, SWE. Leider lernen Sozialromantiker nicht aus der Geschichte. ""Nur Verlierer durch die #Bürgerversicherung"" https://t.co/W23pr3DqDF"	422569574	2018-01-10 10:00:42	FDP	-0.3
832290	955807074528751616	Man muss feststellen, dass die SPD nach wie vor in ihrer Sozialromantik gefangen ist und auf die neuen Fragen... https://t.co/jm5VKPCbnW	22755312	2018-01-23 14:18:59	FDP	-0.3
845864	1073885922335318017	@waschbaerpower Grandios:  Romantik zählt zu den meistunterschätzten Gefahren aller Ideenwelten.	18103366	2018-12-15 10:22:10	Grüne	-2.37
875945	1103975997509197824	"Beim Umgang mit Wölfen verlangt Gitta Connemann ""Realismus statt Wolfsromantik"". Die Sicherheit von Menschen habe oberste Priorität. https://t.co/EyRzZhw8Mq"	150372237	2019-03-08 11:09:23	CDU	-0.3
881663	1132228769845002240	Es reicht! Wir dürfen nicht länger zuschauen, wie unsere Polizistinnen und Polizisten massiv angegriffen werden. Das ist keine Revolutionsromantik, sondern militanter Linksextremismus, der unsere Polizeikräfte an Leib und Leben gefährdet. (1/2) #Rigaer	39999872	2019-05-25 10:15:49	CDU	2.44
